source,target,value
Kanon_Herrero,Linda_Lagos,1
Irene_Nant,Gustav_Cazar,1
Marin_Onda,Anda_Ribera,1
Isak_Baza,Sven_Flecha,2
Lucas_Alcazar,Felix_Resumir,2
Lucas_Alcazar,Dante_Coginian,2
Axel_Calzas,Adra_Nubarron,2
Ingrid_Barranco,Vira_Frente,5
Irene_Nant,Benito_Hawelon,3
Emile_Arpa,Felix_Balas,1
Loreto_Bodrogi,Rachel_Pantanal,1
Elsa_Orilla,Lidelse_Dedos,2
Lucas_Alcazar,Edvard_Vann,2
Axel_Calzas,Nils_Calixto,2
Albina_Hafon,Adan_Morlun,7
Adra_Nubarron,Cornelia_Lais,3
Marin_Onda,Irene_Nant,1
Adan_Morlun,Stenig_Fusil,1
Gustav_Cazar,Willem_Vasco-Pais,1
Hideki_Cocinaro,Nils_Calixto,1
Dylan_Scozzese,Cornelia_Lais,1
Bertrand_Ovan,Valeria_Morlun,27
Hideki_Cocinaro,Lars_Azada,1
Inga_Ferro,Linda_Lagos,2
Varro_Awelon,Mat_Bramar,1
Kanon_Herrero,Felix_Resumir,6
Varro_Awelon,Felix_Balas,1
Lucas_Alcazar,Linda_Lagos,2
Benito_Hawelon,Cornelia_Lais,1
Valeria_Morlun,Dante_Coginian,2
Axel_Calzas,Inga_Ferro,2
Dante_Coginian,Vira_Frente,1
Anda_Ribera,Isande_Borrasca,1
Dante_Coginian,Sten_Sanjorge Jr_,1
Irene_Nant,Henk_Mies,6
Willem_Vasco-Pais,Kare_Orilla,1
Kanon_Herrero,Kare_Orilla,1
Hideki_Cocinaro,Kanon_Herrero,2
Hideki_Cocinaro,Ruscella_Mies_Haber,1
Loreto_Bodrogi,Claudio_Hawelon,1
Ruscella_Mies_Haber,Sten_Sanjorge Jr_,10
Claudio_Hawelon,Rachel_Pantanal,1
Isande_Borrasca,Nils_Calixto,2
Dylan_Scozzese,Adra_Nubarron,1
Adan_Morlun,Claudio_Hawelon,4
Benito_Hawelon,Valeria_Morlun,8
Ruscella_Mies_Haber,Dylan_Scozzese,10
Loreto_Bodrogi,Stenig_Fusil,3
Mat_Bramar,Hideki_Cocinaro,20
Ruscella_Mies_Haber,Emile_Arpa,10
Varja_Lagos,Stenig_Fusil,3
Emile_Arpa,Nils_Calixto,1
Varro_Awelon,Varja_Lagos,1
Anda_Ribera,Willem_Vasco-Pais,1
Isande_Borrasca,Gustav_Cazar,2
Willem_Vasco-Pais,Brand_Tempestad,1
Varro_Awelon,Lidelse_Dedos,1
Loreto_Bodrogi,Axel_Calzas,1
