source,target,value,color,width
"FIEBRE","PARTO VAGINAL ESPONTANEO",2,"#80800029",0.159425973960143
"FIEBRE","INSUFICIENCIA CARDIACA",4,"#80800042",0.260515439609125
"FIEBRE","HERIDA DE LA MANO",2,"#80800029",0.159425973960143
"FIEBRE","DOLOR ABDOMINAL",148,"#808000C9",0.787136296663847
"FIEBRE","EMBARAZO",23,"#80800083",0.515620969279029
"FIEBRE","DOLOR DE GARGANTA",91,"#808000B7",0.716205991042157
"FIEBRE","ARRITMIA CARDIACA",3,"#80800038",0.218559520582737
"FIEBRE","NEUMONIA ASPIRATIVA",2,"#80800029",0.159425973960143
"FIEBRE","DISNEA",29,"#8080008C",0.549427211241517
"FIEBRE","LUXACION DEL CODO",9,"#80800061",0.378782532854313
"FIEBRE","DOLOR DEL MIEMBRO INFERIOR",7,"#80800057",0.342130517269004
"FIEBRE","DIARREA",184,"#808000D1",0.818889366225975
"FIEBRE","DOLOR DE PECHO",5,"#8080004B",0.293058978698683
"FIEBRE","BRONCOESPASMO",469,"#808000F4",0.955348232111447
"FIEBRE","ERUPCION CUTANEA",268,"#808000DF",0.873733154451568
"FIEBRE","MALESTAR GENERAL",369,"#808000EB",0.920374602187788
"FIEBRE","COLICO RENAL",2,"#80800029",0.159425973960143
"FIEBRE","INFECCION DEL TRACTO URINARIO",171,"#808000CE",0.808203255303935
"FIEBRE","CISTITIS",4,"#80800042",0.260515439609125
"FIEBRE","CATARRO DE LAS VIAS AEREAS SUPERIORES",637,"#808000FF",1
"FIEBRE","HEMORRAGIA DIGESTIVA ALTA",3,"#80800038",0.218559520582737
"FIEBRE","MIALGIA",3,"#80800038",0.218559520582737
"FIEBRE","HEMORRAGIA DIGESTIVA",2,"#80800029",0.159425973960143
"FIEBRE","INFECCION URINARIA BAJA",23,"#80800083",0.515620969279029
"FIEBRE","DESCOMPENSACION PSIQUIATRICA",2,"#80800029",0.159425973960143
"FIEBRE","OTITIS MEDIA AGUDA",137,"#808000C6",0.775872778736972
"FIEBRE","CEFALEA",52,"#808000A2",0.634590913382278
"FIEBRE","RECIEN NACIDO A TERMINO CON ALTO PESO PARA EDAD GESTACIONAL",2,"#80800029",0.159425973960143
"FIEBRE","CERVICALGIA",20,"#8080007E",0.495237909996648
"FIEBRE","TOS SECA Y FIEBRE",2,"#80800029",0.159425973960143
"FIEBRE","OTALGIA",186,"#808000D1",0.820466043968887
"FIEBRE","CUERPO EXTRA—O EN EL OJO",3,"#80800038",0.218559520582737
"FIEBRE","SUBOCLUSION INTESTINAL",5,"#8080004B",0.293058978698683
"FIEBRE","HERIDA CORTANTE EN EL CUERO CABELLUDO",16,"#80800076",0.462694370907089
"FIEBRE","NAUSEAS Y VOMITOS",2,"#80800029",0.159425973960143
"FIEBRE","HERIDA CORTANTE EN LA CARA",7,"#80800057",0.342130517269004
"FIEBRE","GASTROENTERITIS AGUDA",54,"#808000A3",0.640095010774871
