"source","target","value","color","width"
"FIEBRE","INSUFICIENCIA CARDIACA",4,"#80800042",0.260515439609125
"FIEBRE","HERIDA DE LA MANO",3,"#80800038",0.218559520582737
"FIEBRE","DOLOR ABDOMINAL",148,"#808000C9",0.787136296663847
"FIEBRE","EMBARAZO",23,"#80800083",0.515620969279029
"FIEBRE","DOLOR DE GARGANTA",91,"#808000B7",0.716205991042157
"FIEBRE","ARRITMIA CARDIACA",3,"#80800038",0.218559520582737
"FIEBRE","NEUMONIA ASPIRATIVA",3,"#80800038",0.218559520582737
"FIEBRE","DISNEA",29,"#8080008C",0.549427211241517
"FIEBRE","LUXACION DEL CODO",9,"#80800061",0.378782532854313
"FIEBRE","DOLOR DEL MIEMBRO INFERIOR",7,"#80800057",0.342130517269004
"FIEBRE","DIARREA",184,"#808000D1",0.818889366225975
"FIEBRE","DOLOR DE PECHO",5,"#8080004B",0.293058978698683
"FIEBRE","BRONCOESPASMO",469,"#808000F4",0.955348232111447
"FIEBRE","ERUPCION CUTANEA",268,"#808000DF",0.873733154451568
"FIEBRE","MALESTAR GENERAL",369,"#808000EB",0.920374602187788
"FIEBRE","COLICO RENAL",3,"#80800038",0.218559520582737
"FIEBRE","INFECCION DEL TRACTO URINARIO",171,"#808000CE",0.808203255303935
"FIEBRE","CISTITIS",4,"#80800042",0.260515439609125
"FIEBRE","CATARRO DE LAS VIAS AEREAS SUPERIORES",637,"#808000FF",1
"FIEBRE","HEMORRAGIA DIGESTIVA ALTA",3,"#80800038",0.218559520582737
"FIEBRE","MIALGIA",3,"#80800038",0.218559520582737
"FIEBRE","INFECCION URINARIA BAJA",23,"#80800083",0.515620969279029
"FIEBRE","OTITIS MEDIA AGUDA",137,"#808000C6",0.775872778736972
"FIEBRE","CEFALEA",52,"#808000A2",0.634590913382278
"FIEBRE","CERVICALGIA",20,"#8080007E",0.495237909996648
"FIEBRE","OTALGIA",186,"#808000D1",0.820466043968887
"FIEBRE","CUERPO EXTRA—O EN EL OJO",3,"#80800038",0.218559520582737
"FIEBRE","SUBOCLUSION INTESTINAL",5,"#8080004B",0.293058978698683
"FIEBRE","HERIDA CORTANTE EN EL CUERO CABELLUDO",16,"#80800076",0.462694370907089
"FIEBRE","HERIDA CORTANTE EN LA CARA",7,"#80800057",0.342130517269004
"FIEBRE","GASTROENTERITIS AGUDA",54,"#808000A3",0.640095010774871
"FIEBRE","OTITIS EXTERNA",29,"#8080008C",0.549427211241517
"FIEBRE","PALPITACIONES",4,"#80800042",0.260515439609125
"FIEBRE","CONTRACCIONES UTERINAS",9,"#80800061",0.378782532854313
"FIEBRE","FIBRILACION AURICULAR",10,"#80800065",0.394148444347665
"FIEBRE","ESCARLATINA",12,"#8080006B",0.420738451880701
"FIEBRE","TRAUMATISMO DE CADERA",4,"#80800042",0.260515439609125
"FIEBRE","CUADRO VIRAL",41,"#80800099",0.599928577644636
"FIEBRE","HIPERTENSION ARTERIAL",27,"#80800089",0.539005545125889
"FIEBRE","VOMITOS",272,"#808000DF",0.875893805389157
"FIEBRE","TRAUMATISMO ENCEFALOCRANEANO",118,"#808000C0",0.75409921642383
"FIEBRE","DOLOR EN EL MIEMBRO SUPERIOR",5,"#8080004B",0.293058978698683
"FIEBRE","HEMATURIA",8,"#8080005C",0.361604905258107
"FIEBRE","RETENCION URINARIA",3,"#80800038",0.218559520582737
"FIEBRE","RECIEN NACIDO A TERMINO",19,"#8080007C",0.487757230760782
"FIEBRE","TOS",570,"#808000FB",0.983792179068863
"FIEBRE","NEUMONIA",133,"#808000C5",0.771551239718625
"FIEBRE","SANGRADO VAGINAL",3,"#80800038",0.218559520582737
"FIEBRE","CONTROL DE SALUD",280,"#808000E0",0.880121384603473
"FIEBRE","FARINGITIS AGUDA",50,"#808000A0",0.628870914735188
"FIEBRE","HIPOTENSION ARTERIAL",5,"#8080004B",0.293058978698683
"FIEBRE","GRIPE",25,"#80800087",0.527781449086206
"FIEBRE","IRRITACION OCULAR",111,"#808000BE",0.745180377637459
"FIEBRE","FARINGOAMIGDALITIS",5,"#8080004B",0.293058978698683
"FIEBRE","ANEMIA",24,"#80800085",0.521827917529683
"FIEBRE","DOLOR CORPORAL GENERALIZADO",4,"#80800042",0.260515439609125
"FIEBRE","VARICELA",34,"#80800092",0.57262540844221
"FIEBRE","CONTROL POR OFTALMOLOGIA",41,"#80800099",0.599928577644636
"FIEBRE","CONJUNTIVITIS",145,"#808000C8",0.78414968162904
"FIEBRE","DOLOR INGUINAL",9,"#80800061",0.378782532854313
"FIEBRE","FARINGITIS",275,"#808000E0",0.877493542863444
"FIEBRE","FARINGOAMIGDALITIS AGUDA",4,"#80800042",0.260515439609125
"FIEBRE","BRAQUIALGIA",5,"#8080004B",0.293058978698683
"FIEBRE","CAIDA DESDE SU PROPIA ALTURA",8,"#8080005C",0.361604905258107
"FIEBRE","LUMBALGIA",26,"#80800088",0.533501447733296
"FIEBRE","COLICO ABDOMINAL",17,"#80800078",0.471535942793228
"FIEBRE","TRAUMATISMO DE RODILLA",6,"#80800052",0.319648986231719
"FIEBRE","CONGESTION NASAL",29,"#8080008C",0.549427211241517
"FIEBRE","NEUTROPENIA",8,"#8080005C",0.361604905258107
"FIEBRE","TRAUMATISMO DE TOBILLO",8,"#8080005C",0.361604905258107
"FIEBRE","REACCION ALERGICA",45,"#8080009C",0.613505003241836
"FIEBRE","DOLOR TORACICO",11,"#80800068",0.408048602088398
"FIEBRE","HERIDA CORTANTE DEL MENTON",18,"#8080007A",0.479871998503295
"FIEBRE","HERIDA CORTANTE DEL DEDO DE LA MANO",3,"#80800038",0.218559520582737
"FIEBRE","DEPOSICIONES CON ESTRIAS SANGUINOLENTAS",8,"#8080005C",0.361604905258107
"FIEBRE","DEMENCIA",5,"#8080004B",0.293058978698683
"FIEBRE","TROMBOSIS VENOSA PROFUNDA",6,"#80800052",0.319648986231719
"FIEBRE","FRACTURA DE LA PELVIS",3,"#80800038",0.218559520582737
"FIEBRE","SOSPECHA DE VARICELA",11,"#80800068",0.408048602088398
"FIEBRE","RETENCION AGUDA DE ORINA",5,"#8080004B",0.293058978698683
"FIEBRE","DIFICULTAD RESPIRATORIA",39,"#80800097",0.59263499435589
"FIEBRE","ALERGIA",6,"#80800052",0.319648986231719
"FIEBRE","HERIDA CORTANTE EN LA MANO",5,"#8080004B",0.293058978698683
