source,target,value,color,width
"FIEBRE","DOLOR ABDOMINAL",148,"#808000C9",0.787136296663847
"FIEBRE","DOLOR DE GARGANTA",91,"#808000B7",0.716205991042157
"FIEBRE","DIARREA",184,"#808000D1",0.818889366225975
"FIEBRE","BRONCOESPASMO",469,"#808000F4",0.955348232111447
"FIEBRE","ERUPCION CUTANEA",268,"#808000DF",0.873733154451568
"FIEBRE","MALESTAR GENERAL",369,"#808000EB",0.920374602187788
"FIEBRE","INFECCION DEL TRACTO URINARIO",171,"#808000CE",0.808203255303935
"FIEBRE","CATARRO DE LAS VIAS AEREAS SUPERIORES",637,"#808000FF",1
"FIEBRE","OTITIS MEDIA AGUDA",137,"#808000C6",0.775872778736972
"FIEBRE","CEFALEA",52,"#808000A2",0.634590913382278
"FIEBRE","OTALGIA",186,"#808000D1",0.820466043968887
"FIEBRE","GASTROENTERITIS AGUDA",54,"#808000A3",0.640095010774871
"FIEBRE","CUADRO VIRAL",41,"#80800099",0.599928577644636
"FIEBRE","VOMITOS",272,"#808000DF",0.875893805389157
"FIEBRE","TRAUMATISMO ENCEFALOCRANEANO",118,"#808000C0",0.75409921642383
"FIEBRE","TOS",570,"#808000FB",0.983792179068863
"FIEBRE","NEUMONIA",133,"#808000C5",0.771551239718625
"FIEBRE","CONTROL DE SALUD",280,"#808000E0",0.880121384603473
"FIEBRE","FARINGITIS AGUDA",50,"#808000A0",0.628870914735188
"FIEBRE","IRRITACION OCULAR",111,"#808000BE",0.745180377637459
"FIEBRE","CONTROL POR OFTALMOLOGIA",41,"#80800099",0.599928577644636
"FIEBRE","CONJUNTIVITIS",145,"#808000C8",0.78414968162904
"FIEBRE","FARINGITIS",275,"#808000E0",0.877493542863444
"FIEBRE","REACCION ALERGICA",45,"#8080009C",0.613505003241836
"FIEBRE","ESTADO POSOPERATORIO",51,"#808000A1",0.631758955064804
"FIEBRE","LARINGITIS",103,"#808000BB",0.73427127366575
"FIEBRE","GASTROENTERITIS",143,"#808000C7",0.782124075861552
"FIEBRE","ODINOFAGIA",50,"#808000A0",0.628870914735188
"FIEBRE","INSUFICIENCIA RENAL CRONICA",43,"#8080009B",0.606874712833901
"FIEBRE","TOS CON FIEBRE",155,"#808000CA",0.793876036435851
"FIEBRE","BRONQUITIS",41,"#80800099",0.599928577644636
"FIEBRE","DIARREA Y VOMITOS",47,"#8080009E",0.619846927227046
"FIEBRE","BRONQUIOLITIS",96,"#808000B9",0.724006848827648
"FIEBRE","REHABILITACION KINESICA",53,"#808000A3",0.637368926342829
"FIEBRE","TOS SECA",46,"#8080009D",0.616710434928011
"FIEBRE","EVALUACION AUDIOLOGICA",51,"#808000A1",0.631758955064804
"FIEBRE","VOMITOS Y FIEBRE",42,"#8080009A",0.603442995189562
"FIEBRE","RESFRIO",47,"#8080009E",0.619846927227046
"FIEBRE","FISIOTERAPIA RESPIRATORIA",45,"#8080009C",0.613505003241836
"FIEBRE","MEDICINA TRANSFUSIONAL",59,"#808000A7",0.653009750774848
"PARTO VAGINAL ESPONTANEO","EMBARAZO",43,"#8080009B",0.606874712833901
"DOLOR ABDOMINAL","EMBARAZO",87,"#808000B5",0.709650223513094
"DOLOR ABDOMINAL","DIARREA",46,"#8080009D",0.616710434928011
"DOLOR ABDOMINAL","MALESTAR GENERAL",122,"#808000C2",0.758961042318842
